latitude,longitude,temperature,ph,conductivity
28.13436127,-80.59400177,5.795000076,0,-1023
28.13436127,-80.59400177,5.677000046,0,-1023
28.13436127,-80.59400177,5.597000122,0,-1023
28.13436127,-80.59400177,5.521999836,0,-1023
28.13436317,-80.59400177,5.40500021,0,-1023
28.13436317,-80.59400177,5.328999996,0,-1023
28.13436317,-80.59400177,5.214000225,0,-1023
28.13436127,-80.59400177,5.137000084,0,-1023
28.13436127,-80.59400177,5.058000088,0,-1023
28.13436127,-80.59400177,4.946000099,0,-1023
28.13435936,-80.59399414,4.870999813,0,-1023
28.13437462,-80.59401703,4.794000149,0,-1023
28.13437843,-80.59401703,4.68200016,0,-1023
28.13438606,-80.59404755,4.606999874,0,-1023
28.13438416,-80.59405518,4.497000217,0,-1023
28.13438416,-80.59404755,4.425000191,0,-1023
28.13438797,-80.59404755,4.346000195,0,-1023
28.13439178,-80.59403992,4.237999916,0,-1023
28.13439941,-80.59404755,4.164000034,0,-1023
28.13439751,-80.59403992,4.058000088,0,-1023
28.13439941,-80.59403992,3.986999989,0,-1023
28.13439751,-80.59403992,3.911999941,0,-1023
28.13439751,-80.59403992,3.805000067,0,-1023
28.13439751,-80.59403992,3.736000061,0,-1023
28.13439751,-80.59403992,3.663000107,0,-1023
28.13439751,-80.59403992,3.555999994,0,-1023
28.13439941,-80.59403992,3.487999916,0,-1023
28.13439751,-80.59403992,3.381999969,0,-1023
28.13439751,-80.59403992,3.319000006,0,-1023
28.13439751,-80.59403992,3.246000051,0,-1023
28.13439751,-80.59403992,3.141000032,0,-1023
28.13439751,-80.59403992,3.078000069,0,-1023
28.13439941,-80.59403992,3.009000063,0,-1023
28.13439941,-80.59403992,2.907000065,0,-1023
28.13439941,-80.59403992,2.838000059,0,-1023
28.13439941,-80.59403992,2.733999968,0,-1023
28.13439941,-80.59403992,2.667999983,0,-1023
28.13439941,-80.59403992,2.602999926,0,-1023
28.13439941,-80.59403229,2.500999928,0,-1023
28.13439941,-80.59403229,2.437999964,0,-1023
28.13439941,-80.59403229,2.339999914,0,-1023
28.13439941,-80.59403229,2.273999929,0,-1023
28.13439941,-80.59403229,2.210000038,0,-1023
28.13439941,-80.59403229,2.11500001,0,-1023
28.13439941,-80.59403229,2.051000118,0,-1023
28.13439941,-80.59403229,1.986999989,0,-1023
28.13439941,-80.59403229,1.893000007,0,-1023
28.13439941,-80.59403229,1.83099997,0,-1023
28.13439941,-80.59403229,1.736999989,0,-1023
28.13439941,-80.59403229,1.674999952,0,-1023
28.13440132,-80.59403229,1.613000035,0,-1023
28.13440132,-80.59403229,1.521000028,0,-1023
28.13440132,-80.59403229,1.45599997,0,-1023
28.13440132,-80.59403229,1.394999981,0,-1023
28.13440132,-80.59403229,1.304999948,0,-1023
28.13440132,-80.59403229,1.243000031,0,-1023
28.13440132,-80.59403229,1.154000044,0,-1023
28.13440132,-80.59403229,1.095000029,0,-1023
28.13440132,-80.59403229,1.034000039,0,-1023
28.13440132,-80.59403229,0.948000014,0,-1023
28.13440132,-80.59403229,0.887000024,0,-1023
28.13440132,-80.59403229,0.797999978,0,-1023
28.13439941,-80.59403229,0.740999997,0,-1023
28.13439941,-80.59403229,0.683000028,0,-1023
28.13439941,-80.59403229,0.595000029,0,-1023
28.13439941,-80.59403229,0.537999988,0,-1023
28.13439941,-80.59403229,0.477999985,0,-1023
28.13439941,-80.59403229,0.395000011,0,-1023
28.13439941,-80.59403229,0.335999995,0,-1023
28.13439941,-80.59403229,0.254000008,0,-1023
28.13439941,-80.59403229,0.196999997,0,-1023
28.13439941,-80.59403229,0.140000001,0,-1023
28.13439941,-80.59403229,0.059,0,-1023
28.13439941,-80.59403229,0.004,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439941,-80.59403229,0,0,-1023
28.13439178,-80.59399414,0,0,-1023
28.13439941,-80.59393311,0,0,-1023
28.13439178,-80.59390259,0,0,-1023
28.13436508,-80.59385681,0,0,-1023
28.13434982,-80.59383392,0,0,-1023
28.13431931,-80.59380341,0,0,-1023
28.13430405,-80.59379578,0,0,-1023
28.13428307,-80.59379578,0,0,-1023
28.13427162,-80.59379578,0,0,-1023
28.13425064,-80.59380341,0,0,-1023
28.13424301,-80.59380341,0,0,-1023
28.13422394,-80.59381866,0,0,-1023
28.1342144,-80.59382629,0,0,-1023
28.13419914,-80.59383392,0,0,-1023
28.13418961,-80.59384155,0,0,-1023
28.13417435,-80.59384155,0,0,-1023
28.1341629,-80.59384155,0,0,-1023
28.13414192,-80.59386444,0,0,-1023
28.13414192,-80.59387207,0,0,-1023
28.13415527,-80.59389496,0,0,-1023
28.13416481,-80.59390259,0,0,-1023
28.13417435,-80.59392548,0,0,-1023
28.13417816,-80.59393311,0,0,-1023
28.13418007,-80.59395599,0,0,-1023
28.13418388,-80.59397125,0,0,-1023
28.13419151,-80.59398651,0,0,-1023
28.13419914,-80.59399414,0,0,-1023
28.1342144,-80.5940094,0,0,-1023
28.13422394,-80.59402466,0,0,-1023
28.13423729,-80.59403992,0,0,-1023
28.13424301,-80.59404755,0,0,-1023
28.13425255,-80.59407043,0,0,-1023
28.13425827,-80.59407806,0,0,-1023
28.1342659,-80.59409332,0,0,-1023
28.13426971,-80.59410095,0,0,-1023
28.13427734,-80.59411621,0,0,-1023
28.13428307,-80.59411621,0,0,-1023
28.1342926,-80.59413147,0,0,-1023
28.13429642,-80.5941391,0,0,-1023
28.13430595,-80.59415436,0,0,-1023
28.13430977,-80.59416199,0,0,-1023
28.13432121,-80.59417725,0,0,-1023
28.13432503,-80.59418488,0,0,-1023
28.13433456,-80.59420013,0,0,-1023
28.13433838,-80.59420013,0,0,-1023
28.13435173,-80.59423065,0,0,-1023
28.13435745,-80.59423828,0,0,-1023
28.1343689,-80.59426117,0,0,-1023
28.13437462,-80.59427643,0,0,-1023
28.13438606,-80.59429932,0,0,-1023
28.13439369,-80.59430695,0,0,-1023
28.13440514,-80.5943222,0,0,-1023
28.13440895,-80.59432983,0,0,-1023
28.1344223,-80.59436035,0,0,-1023
28.13442802,-80.59436798,0,0,-1023
28.13443947,-80.59437561,0,0,-1023
28.13444901,-80.59439087,0,0,-1023
28.13446236,-80.59441376,0,0,-1023
28.13446617,-80.59442139,0,0,-1023
28.1344738,-80.59443665,0,0,-1023
28.13447952,-80.59446716,0,0,-1023
28.13448334,-80.59448242,0,0,-1023
28.13449478,-80.59450531,0,0,-1023
28.1345005,-80.59451294,0,0,-1023
28.13451385,-80.59454346,0,0,-1023
28.13451958,-80.59455109,0,0,-1023
28.13453293,-80.59457397,0,0,-1023
28.13454056,-80.5945816,0,0,-1023
28.13455582,-80.59459686,0,0,-1023
28.13456345,-80.59461212,0,0,-1023
28.13458061,-80.59463501,0,0,-1023
28.13458633,-80.59464264,0,0,-1023
28.13460159,-80.59466553,0,0,-1023
28.13461113,-80.59467316,0,0,-1023
28.13462257,-80.59468842,0,0,-1023
28.13462639,-80.59469604,0,0,-1023
28.13463593,-80.59471893,0,0,-1023
28.13463974,-80.59472656,0,0,-1023
28.13464546,-80.59474945,0,0,-1023
28.13464737,-80.59475708,0,0,-1023
28.13465309,-80.59477234,0,0,-1023
28.134655,-80.59477997,0,0,-1023
28.13466454,-80.59480286,0,0,-1023
28.13466835,-80.59481049,0,0,-1023
28.13467789,-80.59483337,0,0,-1023
28.13468361,-80.594841,0,0,-1023
28.13469315,-80.59486389,0,0,-1023
28.13469887,-80.59487152,0,0,-1023
28.13471031,-80.59488678,0,0,-1023
28.13471603,-80.59490204,0,0,-1023
28.13472748,-80.5949173,0,0,-1023
28.1347332,-80.59492493,0,0,-1023
28.13474464,-80.59494781,0,0,-1023
28.13475037,-80.59495544,0,0,-1023
28.134758,-80.5949707,0,0,-1023
28.13476181,-80.59497833,0,0,-1023
28.13476944,-80.59500122,0,0,-1023
28.13477516,-80.59500885,0,0,-1023
28.13478279,-80.59503174,0,0,-1023
28.13478661,-80.59503937,0,0,-1023
28.13479614,-80.59506226,0,0,-1023
28.13480186,-80.59507751,0,0,-1023
28.13480949,-80.59509277,0,0,-1023
28.13481522,-80.59510803,0,0,-1023
28.13482666,-80.59513092,0,0,-1023
28.13483047,-80.59513855,0,0,-1023
28.13484001,-80.59515381,0,0,-1023
28.13484383,-80.59516907,0,0,-1023
28.13485336,-80.59518433,0,0,-1023
28.13485718,-80.59519958,0,0,-1023
28.13486862,-80.59522247,0,0,-1023
28.13487244,-80.5952301,0,0,-1023
28.13488197,-80.59525299,0,0,-1023
28.1348896,-80.59526825,0,0,-1023
28.13489914,-80.59529114,0,0,-1023
28.13490486,-80.59529877,0,0,-1023
28.13490868,-80.59531403,0,0,-1023
28.13491058,-80.59532166,0,0,-1023
28.13491821,-80.59533691,0,0,-1023
28.13492393,-80.59534454,0,0,-1023
28.13493347,-80.59536743,0,0,-1023
28.13493729,-80.59537506,0,0,-1023
28.13494682,-80.59539032,0,0,-1023
28.13495064,-80.59539795,0,0,-1023
28.13496208,-80.59541321,0,0,-1023
28.1349659,-80.59542084,0,0,-1023
28.13497543,-80.59542847,0,0,-1023
28.13498306,-80.59544373,0,0,-1023
28.1349926,-80.59545898,0,0,-1023
28.13500214,-80.59547424,0,0,-1023
28.13500595,-80.5954895,0,0,-1023
28.13500977,-80.59549713,0,0,-1023
28.13501358,-80.59551239,0,0,-1023
28.13502502,-80.59552765,0,0,-1023
28.13503265,-80.59553528,0,0,-1023
28.13504028,-80.5955658,0,0,-1023
28.1350441,-80.59557343,0,0,-1023
28.13505173,-80.59559631,0,0,-1023
28.13505936,-80.59561157,0,0,-1023
28.1350708,-80.59563446,0,0,-1023
28.13507462,-80.59564209,0,0,-1023
28.13508606,-80.59566498,0,0,-1023
28.13509178,-80.59568024,0,0,-1023
28.13510323,-80.5956955,0,0,-1023
28.13510704,-80.59571075,0,0,-1023
28.13512039,-80.59573364,0,0,-1023
28.13512611,-80.59574127,0,0,-1023
28.13513374,-80.59576416,0,0,-1023
28.13513756,-80.59577179,0,0,-1023
28.13514519,-80.59578705,0,0,-1023
28.135149,-80.59579468,0,0,-1023
28.13515663,-80.59581757,0,0,-1023
28.13516045,-80.5958252,0,0,-1023
28.13516808,-80.59584808,0,0,-1023
28.13516998,-80.59585571,0,0,-1023
28.13517761,-80.5958786,0,0,-1023
28.13517952,-80.59589386,0,0,-1023
28.13518906,-80.59590912,0,0,-1023
28.13519478,-80.59591675,0,0,-1023
28.13520622,-80.59593964,0,0,-1023
28.13521385,-80.5959549,0,0,-1023
28.1352253,-80.59597015,0,0,-1023
28.13523102,-80.59597778,0,0,-1023
28.13524055,-80.59600067,0,0,-1023
28.13524437,-80.59601593,0,0,-1023
28.135252,-80.59603119,0,0,-1023
28.13525391,-80.59603882,0,0,-1023
28.13526154,-80.59605408,0,0,-1023
28.13526726,-80.59606171,0,0,-1023
28.13527489,-80.59608459,0,0,-1023
28.13528061,-80.59609222,0,0,-1023
28.13528824,-80.59610748,0,0,-1023
28.13529205,-80.59611511,0,0,-1023
28.13530159,-80.596138,0,0,-1023
28.13530922,-80.59614563,0,0,-1023
28.13531876,-80.59616852,0,0,-1023
28.13532448,-80.59618378,0,0,-1023
28.13533592,-80.59620667,0,0,-1023
28.13534164,-80.59622192,0,0,-1023
28.13535309,-80.59623718,0,0,-1023
28.13535881,-80.59625244,0,0,-1023
28.13536644,-80.5962677,0,0,-1023
28.13537025,-80.59627533,0,0,-1023
28.13538361,-80.59629059,0,0,-1023
28.13538933,-80.59630585,0,0,-1023
28.13539886,-80.59632111,0,0,-1023
28.13540268,-80.59632874,0,0,-1023
28.13541222,-80.59634399,0,0,-1023
28.13541794,-80.59635162,0,0,-1023
28.13542747,-80.59636688,0,0,-1023
28.1354332,-80.59637451,0,0,-1023
28.13544083,-80.59638977,0,0,-1023
28.13544846,-80.5963974,0,0,-1023
28.13545799,-80.59642029,0,0,-1023
28.13546371,-80.59642792,0,0,-1023
28.13547516,-80.59645081,0,0,-1023
28.1354847,-80.59647369,0,0,-1023
28.13549042,-80.59648132,0,0,-1023
28.13550568,-80.59651184,0,0,-1023
28.1355114,-80.59651947,0,0,-1023
28.13551903,-80.59654236,0,0,-1023
28.13552666,-80.59655762,0,0,-1023
28.13554001,-80.59657288,0,0,-1023
28.13554573,-80.59658051,0,0,-1023
28.13555527,-80.59659576,0,0,-1023
28.13556099,-80.59661102,0,0,-1023
28.13557243,-80.59662628,0,0,-1023
28.13557816,-80.59664154,0,0,-1023
28.13559341,-80.5966568,0,0,-1023
28.13559914,-80.59666443,0,0,-1023
28.1356144,-80.59667969,0,0,-1023
28.13562393,-80.59668732,0,0,-1023
28.13563728,-80.59670258,0,0,-1023
28.13564491,-80.59671021,0,0,-1023
28.13566017,-80.59671783,0,0,-1023
28.1356678,-80.59672546,0,0,-1023
28.13568497,-80.59674072,0,0,-1023
28.1356945,-80.59674835,0,0,-1023
28.13570976,-80.59677124,0,0,-1023
28.1357193,-80.59677887,0,0,-1023
28.13573647,-80.59680176,0,0,-1023
28.13574409,-80.59680939,0,0,-1023
28.13575935,-80.59683228,0,0,-1023
28.13576698,-80.5968399,0,0,-1023
28.13578415,-80.59686279,0,0,-1023
28.13579178,-80.59687042,0,0,-1023
28.13580894,-80.59688568,0,0,-1023
28.13581657,-80.59689331,0,0,-1023
28.13582993,-80.59690857,0,0,-1023
28.13583946,-80.5969162,0,0,-1023
28.13585281,-80.59693146,0,0,-1023
28.13586235,-80.59694672,0,0,-1023
28.13588142,-80.59696198,0,0,-1023
28.13589096,-80.59696198,0,0,-1023
28.13590622,-80.5969696,0,0,-1023
28.13591576,-80.5969696,0,0,-1023
28.13593483,-80.5969696,0,0,-1023
28.13594437,-80.5969696,0,0,-1023
28.13596535,-80.59696198,0,0,-1023
28.13597488,-80.59696198,0,0,-1023
28.13600159,-80.59695435,0,0,-1023
28.13601494,-80.59695435,0,0,-1023
28.13604164,-80.59694672,0,0,-1023
28.13604927,-80.59693909,0,0,-1023
28.13606453,-80.59693146,0,0,-1023
28.13607216,-80.59692383,0,0,-1023
28.13608932,-80.59690094,0,0,-1023
28.13609505,-80.59689331,0,0,-1023
28.13610649,-80.59687042,0,0,-1023
28.1361084,-80.59686279,0,0,-1023
28.13611412,-80.5968399,0,0,-1023
28.13611603,-80.59683228,0,0,-1023
28.13611984,-80.59680176,0,0,-1023
28.13611794,-80.59677887,0,0,-1023
28.13611794,-80.59676361,0,0,-1023
28.13611794,-80.59674072,0,0,-1023
28.13611794,-80.59673309,0,0,-1023
28.13611603,-80.59671021,0,0,-1023
28.13611603,-80.59669495,0,0,-1023
28.13611794,-80.59667206,0,0,-1023
